customernumber;date;salutation;title;domain;datecreated;newsletter;model;paymenttype;deliverytype;invoicepostcode;delivpostcode;voucher;advertisingdatacode;case;numberitems;gift;entry;points;shippingcosts;deliverydatepromised;deliverydatereal;weight;remi;cancel;used;w0;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;target90
12278;2008-12-07;0;0;1;2008-12-07;0;2;0;0;44; ;0; ;4;6;0;1;0;0;2008-12-23;2009-01-31;1398;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0
12283;2008-08-21;0;0;8;2008-08-21;0;2;0;0;96; ;1; ;1;3;0;1;0;0;2008-09-04;2008-09-09;1362;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
12288;2008-06-30;1;0;12;2008-06-30;0;1;3;0;1; ;0; ;2;2;0;0;0;1;2008-07-02;2008-07-01;364;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
12289;2008-05-20;2;0;12;2008-05-20;0;1;3;0;41; ;0;BQ;3;2;0;0;0;0;2008-05-22;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
12300;2008-07-09;0;0;9;2008-07-09;0;3;2;0;85; ;0; ;3;2;0;1;0;1;2008-07-10;2008-07-10;433;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
12306;2008-12-09;0;0;12;2008-12-09;1;1;3;0;33; ;0;BQ;5;1;0;0;0;0;2008-12-11;2008-12-10;254;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
12321;2008-12-08;0;0;5;2008-12-08;1;3;1;1;79; ;0; ;2;1;0;1;0;0;2008-12-10;2008-12-09;267;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
12325;2008-11-19;0;0;12;2008-11-19;0;2;2;0;41; ;0; ;1;1;0;1;0;1;2008-11-21;2008-11-20;131;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
12327;2008-11-26;1;0;4;2008-11-26;0;1;2;0;1; ;1;AB;3;3;0;0;0;0;2008-11-28;2008-11-27;1481;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1
12330;2008-09-16;0;0;11;2008-09-16;0;1;0;0;45; ;0; ;4;3;0;0;0;0;2008-09-18;2008-09-17;1281;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
12333;2008-12-15;0;0;4;2008-12-15;0;1;2;0;61; ;0; ;2;1;0;0;0;1;2008-12-16;2008-12-16;172;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
12338;2008-09-24;0;0;4;2008-09-24;0;1;0;0;89;89;0; ;4;2;0;0;0;0;2008-11-10;2008-11-04;419;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
12340;2008-12-20;0;0;9;2008-12-20;0;2;2;0;53; ;1; ;1;3;0;1;0;0;2009-01-05;2008-12-27;1503;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
12343;2008-12-21;0;0;12;2008-12-21;0;1;2;0;10;13;0; ;4;1;0;0;0;0;2008-12-23;2008-12-22;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12353;2008-08-08;0;0;11;2008-08-08;0;1;1;1;67; ;0; ;3;1;0;0;0;0;2008-08-12;2008-08-09;810;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12360;2008-08-14;0;0;12;2008-08-14;0;2;2;0;40; ;0; ;2;1;0;1;0;1;2008-08-15;2008-08-16;147;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
12365;2008-08-27;2;0;12;2008-08-27;0;1;0;0;28; ;0;BQ;4;2;0;0;0;0;2008-08-28;2008-08-27;987;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
12366;2008-11-10;1;0;9;2008-11-10;0;3;3;0;63; ;0; ;2;1;0;1;0;0;2008-11-12;0000-00-00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
12383;2008-12-02;0;0;5;2008-09-23;1;3;1;1;52; ;0; ;1;1;0;1;0;0;2008-12-05;2008-12-04;185;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
12384;2008-10-09;2;0;12;2008-10-09;1;1;0;0;96; ;0;BQ;4;2;0;0;0;0;2008-10-10;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
12386;2008-09-12;0;0;9;2008-09-12;1;1;0;0;36; ;0; ;4;3;0;0;0;0;2008-09-15;2008-09-12;773;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
12390;2008-12-24;1;0;8;2008-12-24;1;1;0;0;87; ;0; ;1;1;0;0;0;0;2008-12-25;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
12400;2008-10-25;0;0;4;2008-10-25;1;1;0;0;15; ;0; ;4;1;0;0;0;0;2008-10-28;2008-10-27;667;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12403;2008-10-15;0;0;4;2008-10-15;1;1;0;0;94; ;0; ;5;3;0;0;0;0;2008-10-17;2008-10-16;1283;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
12423;2008-09-14;0;0;4;2008-09-14;0;1;0;0;26; ;0; ;4;1;0;0;0;0;2008-09-16;2008-09-15;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
12426;2008-10-01;1;0;6;2008-10-01;0;1;3;0;90; ;0; ;5;1;0;0;0;0;2008-10-03;2008-10-02;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12428;2008-10-22;0;0;4;2008-10-22;0;1;3;0;87; ;1; ;4;4;0;0;0;0;2008-10-23;2008-10-22;1037;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0
12432;2008-12-05;1;0;8;2008-12-05;1;3;2;0;97; ;0;AQ;5;7;0;0;0;0;2009-12-08;2009-03-23;2126;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0
12438;2008-11-22;0;0;4;2008-11-22;0;1;2;0;78; ;0; ;4;4;0;0;0;0;2008-11-25;2008-11-24;679;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
12463;2008-09-23;0;0;8;2008-09-23;0;2;1;1;42; ;0; ;3;1;0;1;0;0;2008-09-25;2008-09-24;752;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12478;2008-07-21;0;0;4;2008-07-21;1;1;0;0;24; ;0; ;4;3;0;0;0;0;2008-08-05;2008-08-30;1718;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0
12483;2008-10-16;1;0;9;2008-10-16;0;1;3;0;17; ;0; ;4;2;0;0;0;0;2008-10-20;2008-10-17;253;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
12485;2008-12-15;0;0;9;2008-12-15;0;2;0;0;40; ;1; ;1;2;0;1;0;0;2008-12-24;2008-12-19;999;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
12487;2008-10-07;1;0;8;2008-10-07;1;3;1;1;96; ;0; ;4;1;0;1;0;0;2008-10-08;2008-10-07;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
12492;2008-08-30;1;0;9;2008-08-30;0;1;3;0;13; ;0; ;2;1;0;0;0;0;2008-09-02;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12505;2008-10-01;1;0;4;2008-10-01;0;1;0;0;85; ;1;AX;1;1;0;0;0;0;2008-10-02;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12507;2008-05-02;2;1;9;2008-05-02;0;1;0;0;35; ;0;BQ;3;1;0;0;0;1;2008-06-02;2008-05-02;772;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12512;2008-07-26;1;0;11;2008-07-26;0;1;1;1;60; ;0; ;1;1;0;0;0;0;2008-08-08;2008-08-09;435;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12519;2008-11-21;0;0;4;2008-11-21;0;2;0;0;44; ;1; ;1;2;0;1;0;0;2008-11-24;2008-11-21;1566;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
12524;2008-04-22;0;0;4;2008-04-22;0;1;0;0;50; ;1; ;3;1;0;0;0;0;2008-04-24;2008-04-23;554;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12557;2008-08-21;0;0;4;2008-08-21;0;3;0;0;96; ;0; ;2;1;0;1;0;1;2008-08-25;2008-08-22;198;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
12570;2008-05-17;1;0;12;2008-05-17;0;1;2;0;89; ;0; ;3;1;0;0;0;1;2008-05-20;2008-05-19;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12580;2008-04-08;2;0;12;2008-04-08;0;3;0;0;78; ;0; ;4;2;0;1;0;0;2008-04-10;2008-04-09;472;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
12583;2008-07-06;0;0;12;2008-07-06;0;2;1;1;52; ;0; ;2;6;0;1;0;0;2008-07-22;2008-07-19;840;1;0;0;0;2;1;0;0;0;0;0;0;3;0;1
12593;2008-06-30;1;0;8;2008-06-30;0;1;0;0;58; ;0; ;2;2;0;0;0;1;2008-07-01;2008-07-01;1045;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0
12595;2008-10-13;1;0;9;2008-10-13;0;1;2;0;12; ;0; ;4;2;0;0;0;0;2008-10-14;2008-10-13;947;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
12606;2008-12-16;0;0;9;2008-12-01;0;2;0;0;47;95;0; ;5;8;0;1;0;0;2008-12-17;2008-12-17;2716;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0
12623;2008-12-03;1;0;5;2008-12-03;0;1;2;0;20; ;0;BQ;4;3;0;0;0;0;2008-12-04;2008-12-03;718;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
12629;2008-08-03;1;0;12;2008-08-03;0;2;1;1;50; ;0; ;1;1;0;1;0;0;2008-08-05;2008-08-05;125;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12651;2008-06-11;2;0;4;2008-06-11;0;1;2;0;69; ;0;BQ;5;9;0;0;0;0;2008-06-25;2008-07-10;2899;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0
12657;2008-08-14;0;0;5;2008-08-14;0;3;1;1;63; ;0; ;2;1;0;1;0;0;2008-08-18;2008-08-16;439;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12660;2008-08-28;2;0;12;2008-08-28;0;1;0;0;76; ;0; ;4;3;0;0;0;0;2008-08-29;2008-08-29;1678;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1
12662;2008-12-30;0;0;4;2008-12-30;0;3;1;1;23; ;0; ;3;1;0;1;0;0;2008-12-31;2008-12-30;297;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12667;2008-08-04;1;0;12;2008-08-04;0;1;2;0;31; ;0;BQ;4;1;0;0;0;0;2008-08-05;2008-08-05;638;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12676;2008-09-08;1;0;12;2008-09-08;0;1;0;0;73; ;0; ;1;1;0;0;0;0;2008-09-10;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12681;2008-07-26;0;0;9;2008-07-26;0;1;0;0;12; ;0; ;3;1;0;0;0;0;2008-07-29;2008-07-28;467;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12685;2008-08-25;0;0;11;2008-08-25;0;1;0;0;67; ;0;CA;2;1;0;0;0;1;2008-08-26;2008-08-26;747;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
12691;2008-09-19;1;0;9;2008-09-19;0;3;2;0;85; ;0; ;4;3;0;1;0;0;2008-09-23;2008-09-20;1421;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
12692;2008-07-07;0;0;9;2008-07-07;1;2;1;1;46; ;0; ;4;2;0;1;0;0;2008-07-08;2008-07-08;1124;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
12695;2008-12-21;1;0;0;2008-12-21;0;3;1;1;73; ;0; ;2;1;0;1;0;0;2008-12-23;2008-12-22;341;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12698;2008-04-02;1;0;3;2008-04-02;0;1;3;0;28; ;0; ;2;1;0;0;0;0;2008-04-04;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12704;2008-10-23;0;0;2;2008-10-23;1;1;0;0;85; ;0; ;2;1;0;0;0;0;2008-10-27;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12710;2008-08-11;0;0;9;2008-08-11;0;2;0;0;41; ;1; ;3;3;0;1;0;0;2008-08-13;2008-08-12;709;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
12716;2008-06-05;0;0;12;2008-06-05;0;1;2;0;44;47;0; ;4;1;1;0;0;0;2008-06-18;2008-06-06;947;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12718;2008-10-04;1;0;0;2008-10-04;1;1;2;0;88; ;0;BQ;1;2;0;0;0;0;2008-10-07;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
12731;2008-06-07;1;1;9;2008-06-07;0;3;1;1;40; ;0; ;2;1;0;1;0;0;2008-06-10;2008-06-09;660;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12732;2008-04-30;2;0;9;2008-04-30;1;3;2;0;22; ;0; ;4;1;0;1;0;0;2008-05-02;2008-04-30;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12740;2008-06-12;1;0;12;2008-06-12;0;1;0;0;68; ;0; ;4;1;0;0;0;0;2008-06-13;2008-06-12;629;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12744;2008-05-05;0;0;12;2008-04-25;0;1;0;0;60; ;1;AP;1;1;0;0;0;0;2008-05-06;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12751;2008-04-29;1;0;9;2008-04-29;1;1;3;0;14; ;0; ;3;1;0;0;0;0;2009-05-04;2008-10-17;701;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12766;2008-09-15;2;0;0;2008-09-15;0;1;0;0;89; ;0; ;2;1;0;0;0;1;2009-09-18;0000-00-00;426;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12770;2009-01-16;0;0;4;2008-09-14;0;1;0;0;66; ;0; ;5;7;0;0;0;0;2009-01-20;2009-01-16;2594;0;0;0;3;4;0;0;0;0;0;0;0;0;0;1
12795;2008-06-24;0;0;8;2008-06-24;1;1;0;0;47; ;1;AB;3;2;0;0;0;0;2008-06-25;2008-06-24;729;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
12796;2008-07-09;0;0;4;2008-07-09;0;1;2;0;26; ;1;BQ;4;5;0;0;0;0;2008-07-10;2008-07-09;1485;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
12802;2008-09-01;2;0;12;2008-08-27;0;3;3;0;65; ;0; ;5;1;0;1;0;0;2008-09-02;2008-09-01;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
12803;2008-04-27;1;0;6;2008-04-27;1;1;3;0;44; ;0; ;2;1;0;0;0;1;2008-04-29;2008-04-28;646;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12804;2008-04-14;1;0;12;2008-04-14;0;2;3;0;6;6;0; ;4;1;0;1;0;0;2008-04-16;2008-04-15;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
12805;2008-07-20;1;0;2;2008-07-20;0;3;1;1;24; ;0; ;2;1;0;1;0;0;2008-07-22;2008-07-21;538;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
12808;2008-04-27;0;0;4;2008-04-27;0;2;0;0;44; ;0; ;3;3;0;1;0;0;2008-04-29;2008-04-28;1713;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
12812;2008-10-20;1;0;4;2008-10-20;0;3;1;1;23; ;0; ;4;1;0;1;0;0;2009-10-23;0000-00-00;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12831;2008-09-17;0;0;9;2008-09-17;0;3;1;1;73; ;0; ;4;2;0;1;0;0;2008-09-18;2008-09-18;356;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
12832;2008-12-21;0;0;4;2008-12-21;0;3;1;1;20; ;0; ;2;1;0;1;0;0;2008-12-23;2008-12-23;460;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12837;2008-05-22;0;0;12;2008-05-22;0;3;0;0;49; ;1; ;1;2;0;1;0;0;2008-05-26;2008-05-23;507;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
12849;2008-06-30;1;0;4;2008-06-30;0;3;0;0;47; ;0; ;3;1;0;1;0;0;2008-07-02;2008-07-02;544;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12850;2008-10-18;1;0;6;2008-10-18;1;1;0;0;14; ;0; ;1;1;0;0;0;0;2008-10-21;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12861;2008-06-24;2;0;11;2008-06-24;0;1;0;0;10; ;0;BQ;1;1;0;0;0;0;2008-06-26;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
12872;2008-07-28;0;0;5;2008-07-28;0;1;0;0;53; ;0;BQ;3;2;0;0;0;0;2008-07-29;0000-00-00;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
12877;2008-11-25;0;0;8;2008-11-25;0;2;0;0;54; ;1; ;1;3;0;1;0;1;2008-11-27;0000-00-00;648;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1
12880;2008-10-10;0;0;11;2008-10-10;0;2;0;0;32; ;0; ;3;1;0;1;0;0;2008-10-13;2008-10-10;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12886;2008-06-06;1;0;12;2008-06-06;0;3;2;0;97; ;0; ;4;1;0;1;0;0;2008-06-09;2008-06-06;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12890;2008-05-01;2;0;12;2008-05-01;0;1;0;0;23; ;0; ;5;1;0;0;0;0;2008-06-02;2008-05-13;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12893;2008-12-30;0;0;11;2008-12-30;0;1;0;0;8; ;0; ;2;1;0;0;0;1;2008-12-31;2009-01-02;289;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12894;2008-08-20;0;0;8;2008-08-20;0;3;1;1;99; ;0; ;4;2;0;1;0;0;2008-08-22;2008-08-22;1345;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
12913;2008-09-03;1;0;4;2008-09-03;0;3;1;1;42; ;0; ;2;1;0;1;0;0;2008-09-05;2008-09-04;437;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12921;2008-12-17;1;0;1;2008-12-17;0;1;2;0;60; ;0; ;3;1;0;0;0;0;2008-12-19;2008-12-18;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12927;2008-10-21;2;0;9;2008-10-21;0;1;0;0;2; ;0; ;4;1;0;0;0;0;2008-11-04;2008-10-22;937;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
12934;2008-05-06;1;0;6;2008-05-06;0;2;0;0;40; ;0;BQ;4;2;0;1;0;0;2008-05-08;2008-05-07;926;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
12936;2008-12-02;1;0;9;2008-12-02;0;3;0;0;77; ;0; ;3;1;0;1;0;0;2008-12-03;2008-12-02;659;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
12949;2008-10-21;0;0;5;2008-10-21;1;1;1;1;13; ;0;AB;4;2;0;0;0;0;2008-11-04;2008-12-03;1259;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
12950;2008-05-29;1;0;8;2008-05-29;0;1;0;0;32; ;1;CA;3;2;0;0;0;0;2008-06-02;2008-05-30;333;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1
12964;2008-04-24;1;0;8;2008-04-24;0;1;2;0;80; ;0;BQ;2;1;0;0;0;1;2008-04-28;2008-04-25;488;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12968;2008-08-07;0;0;0;2008-08-07;1;2;2;0;40; ;1; ;2;3;0;1;0;0;2008-08-11;2008-08-08;1157;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
12969;2008-06-14;0;0;4;2008-06-14;0;1;0;0;41; ;1;AH;1;1;0;0;0;0;2008-06-17;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12972;2008-08-31;0;0;4;2008-08-31;1;1;0;0;26; ;1;AP;1;1;0;0;0;0;2008-09-02;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12995;2008-04-04;0;0;12;2008-04-04;0;1;0;0;48; ;0; ;4;4;0;0;0;0;2008-04-08;2008-04-05;2052;0;0;3;0;3;0;0;0;0;0;0;0;1;0;0
13006;2008-12-21;1;0;8;2008-12-21;0;1;2;0;67; ;0; ;3;4;0;0;0;0;2008-12-23;0000-00-00;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
13016;2008-06-07;2;0;5;2008-06-07;1;3;0;0;24;24;0; ;3;1;0;1;0;1;2008-06-10;2008-07-15;247;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
13017;2008-11-08;0;0;5;2008-11-08;0;1;3;0;68; ;0; ;4;4;0;0;0;0;2008-11-11;2008-11-10;1219;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0
13020;2008-09-08;1;0;8;2008-09-08;0;1;2;0;21; ;0;BC;2;1;0;0;0;1;2008-09-10;2008-09-09;354;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13024;2008-08-20;0;0;9;2008-08-20;0;1;1;1;18; ;0; ;2;1;0;0;0;0;2009-08-25;2008-08-21;105;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
13026;2008-12-16;0;0;12;2008-12-16;0;1;2;0;31; ;0; ;2;1;0;0;0;1;2009-01-30;2009-01-05;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13056;2008-12-28;0;0;12;2008-12-28;0;3;0;0;61; ;0; ;2;1;0;1;0;1;2008-12-30;2008-12-29;162;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13058;2008-05-26;0;0;9;2008-05-26;0;1;3;0;71; ;0;BQ;4;4;0;0;0;0;2008-05-28;2008-05-27;526;0;0;0;0;1;0;0;0;0;0;0;0;3;0;1
13060;2008-07-27;1;0;9;2008-07-27;0;1;0;0;30; ;0; ;5;5;0;0;0;0;2008-07-29;2008-07-28;2340;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1
13065;2008-11-27;0;0;4;2008-11-27;0;1;1;1;92; ;0; ;2;2;0;0;0;0;2008-12-01;2008-11-28;549;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
13068;2008-10-19;1;0;12;2008-10-19;0;2;0;0;41; ;1; ;1;3;0;1;0;0;2008-10-21;2008-10-20;3344;6;0;0;0;6;0;0;0;0;0;0;0;0;0;1
13071;2008-12-15;1;0;10;2008-12-15;0;3;3;0;30; ;0; ;5;1;0;1;0;1;2008-12-16;2008-12-17;140;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
13072;2008-10-21;0;0;1;2008-10-21;0;1;0;0;55; ;0; ;3;2;0;0;0;0;2008-10-23;2008-10-22;842;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
13075;2008-12-31;0;0;5;2008-12-31;0;2;0;0;52; ;0; ;2;1;0;1;0;1;2009-01-14;2009-01-10;587;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
13087;2008-12-20;0;0;8;2008-12-20;1;1;2;0;59;66;0; ;2;1;0;0;0;1;2008-12-23;2008-12-22;459;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
13093;2008-04-22;0;0;11;2008-04-22;0;2;0;0;44; ;1; ;2;1;0;1;0;0;2008-04-24;2008-04-23;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
13095;2008-07-16;1;0;1;2008-07-16;0;1;0;0;48; ;1;AP;1;1;0;0;0;0;2008-07-18;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13106;2008-05-02;1;0;12;2008-05-02;0;1;2;0;26; ;0; ;4;1;0;0;0;0;2008-06-02;2008-05-03;656;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13107;2008-12-20;0;0;9;2008-12-20;1;1;0;0;76; ;0; ;4;3;0;0;0;0;2008-12-23;2008-12-21;804;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1
13109;2008-12-24;0;0;12;2008-12-24;0;3;0;0;25; ;0; ;3;4;0;1;0;0;2008-12-26;2008-12-27;698;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1
13117;2008-08-22;0;0;4;2008-08-22;0;3;1;1;31; ;0; ;2;1;0;1;0;0;2008-08-25;2008-08-23;445;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
13121;2008-06-12;1;0;9;2008-06-12;0;1;0;0;37; ;0; ;5;1;0;0;0;0;2008-06-13;2008-06-13;151;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0
13139;2008-09-20;1;0;4;2008-09-20;0;2;1;1;44; ;0; ;4;4;0;1;0;0;2009-09-22;2008-09-20;1569;0;1;0;2;1;0;0;0;0;0;0;0;0;0;1
13140;2008-12-01;1;0;8;2008-12-01;1;1;1;1;84; ;0; ;2;1;0;0;0;0;2008-12-16;2008-12-04;365;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13143;2008-04-09;1;0;4;2008-04-09;0;1;0;0;97; ;0;AB;2;1;0;0;0;1;2008-04-11;2008-04-10;279;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13145;2008-09-30;1;0;4;2008-09-30;1;2;3;0;41; ;1; ;2;3;0;1;0;1;2008-10-02;2008-10-01;975;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
13146;2008-08-19;1;0;4;2008-08-19;0;1;0;0;33; ;0;CA;4;3;0;0;0;0;2008-08-21;2008-08-20;636;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
13151;2008-12-12;1;0;4;2008-12-12;0;1;2;0;61; ;0; ;3;2;0;0;0;0;2008-12-26;2009-01-30;396;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
13155;2008-06-29;0;0;4;2008-06-29;0;1;2;0;66; ;0;CA;2;1;0;0;0;1;2008-07-01;2008-06-30;505;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
13162;2008-05-11;0;0;5;2008-05-11;0;1;2;0;12; ;0;CA;5;3;0;0;0;0;2008-05-14;2008-05-13;211;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1
13168;2008-11-26;0;0;4;2008-11-26;1;1;0;0;82; ;1; ;5;5;0;0;0;0;2008-11-28;2008-11-27;2457;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0
13173;2008-04-09;2;0;1;2008-04-09;0;1;0;0;59; ;0;CA;1;1;0;0;0;1;2008-04-22;2008-04-09;278;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13176;2008-08-15;1;0;0;2008-08-15;0;1;3;0;73; ;0;BQ;2;1;0;0;0;0;2008-08-18;0000-00-00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13177;2008-04-21;0;0;4;2008-04-18;0;3;0;0;30; ;1; ;1;1;0;1;0;0;2008-04-23;2008-04-22;912;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
13186;2008-07-28;0;0;4;2008-07-28;0;1;0;0;13; ;0;CA;3;4;0;0;0;0;2008-07-30;0000-00-00;1624;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0
13191;2008-10-30;0;0;4;2008-10-30;0;3;1;1;12; ;0; ;3;1;0;1;0;0;2008-10-31;2008-10-30;496;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
